username,tweetcreatedts,text
Kanzia_92,2023-02-12 06:47:09+00:00,@TikaLutri Masa jabatan Kepala Desa sebelumnya 6 tahun menjadi 9 tahun merupakan hal wajar https://t.co/RmQacILGgy
Kanzia_92,2023-02-12 06:46:41+00:00,@jokosantoso_id Masa jabatan Kepala Desa sebelumnya 6 tahun menjadi 9 tahun merupakan hal wajar https://t.co/gG6B54do17
BumiDatar94,2023-02-12 06:29:01+00:00,"Masa Jabatan Kepala Desa sebelumnya 6 tahun menjadi 9 tahun merupakan hal yang wajar, karena pada masa sebelumnya kepala desa dapat menjabat selama 10 tahun https://t.co/phWJBUW3Cx"
amar_Sound3,2023-02-12 06:22:42+00:00,Penambahan Masa Jabatan Kepala Desa itu wajar gaiss.. yang masa sebelumnya aja kemarin pernah sampe 10 Tahun tuhh https://t.co/yMs4qqUSvD
AcehArakate,2023-02-12 06:12:06+00:00,"Masa Jabatan Kepala Desa
#KepalaDesa
#JabatanDesa https://t.co/vSe57fbbza"
fandaadrian2,2023-02-12 06:03:33+00:00,Penambahan Masa Jabatan Kepala Desa itu wajar gaiss.. yang masa sebelumnya aja kemarin pernah sampe 10 Tahun tuhh https://t.co/g1lxdAxdPJ
TikaLutri,2023-02-12 06:01:31+00:00,"Masa jabatan kepala desa merupakan hal yang wajar
#Kepaladesa
#Masajabatan https://t.co/RNsHg6ADcv"
YudaPra85206337,2023-02-12 05:59:56+00:00,Masa Jabatan Kepala Desa Sebelumnya 6 Tahun Menjadi 9 Tahun Merupakan Hal Wajar https://t.co/EI8W9sPTMH
SindyAp59526417,2023-02-12 05:59:47+00:00,Masa Jabatan Kepala Desa Sebelumnya 6 Tahun Menjadi 9 Tahun Merupakan Hal Wajar https://t.co/bhI0vNa2RS
DavinaKeana6,2023-02-12 05:59:41+00:00,Masa Jabatan Kepala Desa Sebelumnya 6 Tahun Menjadi 9 Tahun Merupakan Hal Wajar https://t.co/GtLACQYzd9
BlangkonHarman,2023-02-12 05:58:46+00:00,Tuntutan kepala desa untuk menambah masa jabatan dari sebelumnya 6 tahun menjadi 9 tahun merupakan hal wajar #KepalaDesa #JabatanKepalaDesa https://t.co/9rwwtZWP7O
VegaLiana2,2023-02-12 05:58:25+00:00,Masa jabatan kepala desa diperpanjang untuk pembangunan desa lebih baik! https://t.co/o7PFSgcLPk
vetobill971,2023-02-12 05:54:11+00:00,Tuntutan kepala desa untuk menambah masa jabatan dari sebelumnya 6 tahun menjadi 9 tahun merupakan hal wajar #KepalaDesa #JabatanKepalaDesa https://t.co/qtRwv4jQRf
Fredriiinnsambo,2023-02-12 05:51:29+00:00,"Masa jabatan kepala desa merupakan hal yang wajar
#Kepaladesa
#Masajabatan https://t.co/zh3JG7kFUl"
lorie_salvaniya,2023-02-12 05:47:07+00:00,Tuntunan kepala desa untuk menambah masa jabatan dari sebelumnya 6tahun menjadi 9tahun merupakan hal wajar https://t.co/8gShGEpzKS
fandaadrian2,2023-02-12 05:26:43+00:00,Penambahan Masa Jabatan Kepala Desa itu wajar gaiss.. yang masa sebelumnya aja kemarin pernah sampe 10 Tahun tuhh https://t.co/8pSSUe0gap
elisaa881,2023-02-12 05:02:14+00:00,Perpanjangan masa jabatan kepala desa agar pembangunan di Desa semakin membaik https://t.co/lY8Zj3MJz0
elisaa881,2023-02-12 05:02:01+00:00,Tuntuntan perpanjangan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun adalah hal yang wajar https://t.co/vkQVHWXukG
